id,adaptability,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,incredibly_kifriendly_dogs,dog_friendly,friendly_towarstrangers,health_grooming,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,exercise_needs,energy_level,intensity,potential_for_playfulness,breed_group,height,weight,lifspan,adapts_well_to_apartment_living
411,4,3,3.0,3,3,4,3,4,3,3,3,3,1,1,4,4,5,3,3,3,3,4,2.0,4,1,3.0,2,3.0,4,Mixed Breed Dogs,"Up to 1 foot, 2 inches tall at the shoulder",18 to 30 pounds,12 to 14 years,Flexible
412,3,2,4.0,1,2,2,4,4,4,3,2,3,2,2,4,3,3,1,3,2,3,4,2.0,4,3,4.0,3,3.0,3,Mixed Breed Dogs,21 to 25 inches at the shoulder,9 to 20 pounds ,12 to 15 years,Flexible
413,3,4,2.0,2,4,3,4,5,4,3,3,2,1,2,3,3,4,3,3,5,4,3,2.0,4,3,4.0,3,3.0,4,Mixed Breed Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",60 to 120 pounds,12 to 18 years,Flexible
414,4,5,4.0,3,4,2,4,5,1,3,1,3,4,3,5,3,3,3,3,3,3,2,2.0,2,2,3.0,3,2.0,4,Hybrid Dogs,12 to 16 inches,7 to 12 pounds,10 to 15 years,Moderate
415,3,3,4.0,2,4,5,3,5,4,3,4,2,2,2,5,4,4,3,3,4,4,2,3.0,3,4,5.0,5,5.0,5,Terrier Dogs,20 to 25 inches,18 to 22 pounds,10 to 14 years ,Versatile
416,3,4,2.0,2,1,3,5,5,5,3,5,4,4,3,4,2,3,3,4,1,3,2,2.0,2,4,4.0,4,3.0,4,Working Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",30 to 60 pounds,10 to 14 years. ,Moderate
417,3,2,4.0,2,2,4,4,5,5,2,4,3,3,1,5,1,4,5,4,2,4,3,4.0,4,4,5.0,5,4.0,5,Mixed Breed Dogs,16 to 25 inches ,120 to 180 pounds,11 to 14 years old,Hesitant
418,2,1,3.0,2,4,1,5,5,5,2,5,3,5,4,3,3,4,5,4,4,3,4,5.0,4,4,2.0,2,2.0,4,Working Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",30 to 60 pounds,10 to 12 years,Resistant
419,3,3,3.0,2,4,2,3,4,3,3,3,3,3,1,4,3,2,2,4,3,4,2,4.0,5,1,3.0,4,3.0,3,Mixed Breed Dogs,"Up to 1 foot, 2 inches tall at the shoulder",45 to 100 pounds,10 to 16 years,Flexible
420,3,2,3.0,3,3,3,4,4,4,3,2,3,4,1,3,4,4,1,3,4,4,4,3.0,4,1,4.0,4,2.0,1,Mixed Breed Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",13 to 30 pounds,8 to 15 years,Resistant
421,3,4,4.0,2,4,4,4,5,4,3,4,4,4,2,3,3,4,4,3,5,5,2,3.0,2,2,4.0,4,4.0,4,Mixed Breed Dogs,"1 foot, 8 inches to 1 foot, 11 inches tall at the shoulder",9 to 13 pounds,8 to 12 years,Hesitant
422,3,5,3.0,3,1,2,3,4,3,2,3,2,2,1,3,5,2,2,3,3,4,4,4.0,3,2,4.0,4,3.0,3,Companion Dogs,21 to 25 inches at the shoulder,14 to 16 pounds,10 to 15 years,Hesitant
423,3,4,4.0,1,2,4,4,4,5,2,3,2,2,1,5,4,2,3,3,2,4,4,4.0,4,3,3.0,5,4.0,5,Hound Dogs,21 to 25 inches at the shoulder,120 to 180 pounds,13 to 15 years,Versatile
424,4,2,5.0,5,1,5,3,4,4,2,2,3,3,1,3,3,3,1,4,3,3,4,5.0,4,1,3.0,3,2.0,3,Hound Dogs,22 inches to 26 inches tall at the shoulder,50 to 65 pounds,12 to 18 years,Versatile
425,3,3,4.0,2,2,2,4,4,3,3,4,2,2,1,5,4,3,2,3,4,3,2,5.0,3,3,4.0,4,4.0,5,Mixed Breed Dogs,20 to 25 inches,40 to 180 pounds,9 to 14 years,Flexible
426,3,2,3.0,2,4,3,4,5,5,4,5,4,5,4,3,4,3,3,3,3,5,5,1.0,1,5,5.0,5,3.0,5,Hound Dogs,16 to 25 inches,115 to 180 pounds,10 to 12 years,Resistant
427,4,5,3.0,3,2,2,4,4,4,3,3,2,1,1,2,2,3,2,3,3,4,2,1.0,2,3,4.0,3,2.0,4,Terrier Dogs,19½ to 21 inches for males and 18½ to 20 inches for females,15 to 17 pounds,10 to 15 years,Moderate
428,4,2,3.0,3,5,2,4,5,4,3,3,3,3,3,3,3,4,3,4,3,4,2,5.0,3,1,3.0,2,2.0,4,Sporting Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",18 to 30 pounds,10 to 13 years,Moderate
429,2,2,3.0,1,5,2,4,5,4,1,5,4,4,4,4,2,4,3,2,4,4,3,1.0,4,1,5.0,4,3.0,4,Working Dogs,20 to 27 inches ,Starts at 30 pounds,10 to 12 years,Resistant
430,2,2,3.0,1,4,3,5,5,5,3,5,3,3,5,3,2,3,5,3,4,4,4,5.0,1,5,4.0,4,2.0,4,Hound Dogs,19 to 24 inches,70 to 115 pounds,10 to 12 years,Resistant
431,3,4,4.0,2,4,4,3,4,3,2,2,3,2,1,4,3,3,2,4,3,4,4,4.0,4,5,4.0,3,5.0,5,Mixed Breed Dogs,11 to 24 inches,15 to 35 pounds ,11 to 14 years,Versatile
432,3,4,4.0,3,3,4,5,5,5,5,4,4,3,1,5,4,4,5,4,4,4,2,4.0,4,3,4.0,4,3.0,5,Herding Dogs,"1 foot, 10 inches to 2 feet tall at the shoulder",60 to 95 pounds ,12 to 15 years,Moderate
433,3,1,4.0,2,5,1,5,5,5,4,5,4,3,5,5,3,3,5,4,4,4,3,4.0,2,3,5.0,5,5.0,5,Working Dogs,16 to 25 inches,22 to 55 pounds,10 to 12 years,Resistant
434,4,4,4.0,3,1,2,5,5,2,5,4,3,3,2,1,5,3,4,4,3,4,2,1.0,4,5,4.0,3,2.0,4,Hybrid Dogs,12 to 16 inches,30 to 60 pounds,12 to 15 years,Hesitant
435,2,2,3.0,2,2,3,4,4,4,5,2,3,3,1,5,2,2,2,4,1,4,2,4.0,4,5,,5,3.0,4,Mixed Breed Dogs,12 to 15 inches ,50 to 85 pounds,10 to 12 years,Versatile
436,2,2,4.0,1,4,2,2,5,4,3,4,4,4,5,4,3,3,3,4,5,3,4,3.0,2,3,4.0,5,3.0,4,Working Dogs,8 to 18 inches ,4 to 16 pounds ,12 to 14 years,Hesitant
437,3,3,4.0,1,4,4,4,5,5,5,3,4,5,2,5,3,4,3,4,5,5,3,3.0,4,5,4.0,5,4.0,5,Mixed Breed Dogs,15 to 30 inches,Starts at 20 pounds,10 to 12 years ,Hesitant
438,2,2,3.0,2,5,4,5,5,5,4,5,4,4,3,3,3,2,4,4,4,3,2,3.0,4,4,,4,3.0,4,Mixed Breed Dogs,19 to 24 inches,13 to 17 pounds,12 to 15 years,Resistant
439,3,3,3.0,1,3,3,4,5,4,4,2,3,4,2,2,3,4,4,3,4,5,2,2.0,3,3,4.0,4,3.0,5,Mixed Breed Dogs,24 to 27 inches at the shoulder,25 to 30 pounds,6 to 10 years,Hesitant
440,3,3,3.0,3,4,3,4,5,4,3,4,4,3,2,2,3,3,4,3,5,5,3,4.0,4,3,4.0,5,4.0,5,Mixed Breed Dogs,8 to 18 inches ,9 to 13 pounds,12 to 14 years,Hesitant
441,3,3,4.0,1,2,4,4,5,4,1,4,3,4,2,5,4,3,4,4,5,5,2,4.0,4,3,5.0,5,5.0,5,Mixed Breed Dogs,20 to 25 inches,Starts at 20 pounds,14 to 20 years,Moderate
442,3,2,4.0,2,4,3,5,5,5,4,5,4,4,4,4,3,2,4,3,5,4,5,3.0,2,3,4.0,3,3.0,5,Working Dogs,26 to 34 inches tall at the shoulder,35 to 80 pounds,12 to 16 years,Moderate
443,3,3,4.0,2,2,3,3,4,3,2,3,4,1,1,5,3,3,2,4,3,3,4,4.0,3,3,4.0,5,4.0,4,Terrier Dogs,21 to 25 inches at the shoulder,9 to 15 pounds,10 to 12 years,Versatile
444,3,4,4.0,1,2,3,3,4,3,2,2,3,3,1,1,4,2,5,2,3,4,3,2.0,4,3,4.0,4,3.0,4,Working Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",11 to 15 pounds,9 to 15 years,Flexible
445,4,5,4.0,2,2,3,5,5,5,4,4,3,3,1,2,4,3,2,4,5,4,4,4.0,2,4,5.0,5,4.0,4,Terrier Dogs,11 inches to 1 foot tall at the shoulder,15 to 19 pounds,12 to 15 years,Versatile
446,3,2,3.0,3,3,1,4,5,4,2,3,4,4,5,3,2,3,3,3,3,4,3,3.0,2,2,4.0,2,3.0,4,Mixed Breed Dogs,12 to 15 inches. ,70 to 115 pounds,10 to 13 years,Hesitant
447,3,4,3.0,2,3,3,4,5,4,4,3,3,2,2,3,4,3,3,3,4,4,2,3.0,4,2,4.0,4,4.0,5,Hound Dogs,19 to 24 inches,30 to 60 pounds,10 to 18 years,Moderate
448,3,2,3.0,2,4,3,3,5,5,3,2,3,3,3,3,3,3,3,3,3,4,2,5.0,3,3,4.0,4,3.0,4,Hound Dogs,12 to 15 inches ,30 to 60 pounds,12 to 16 years,Moderate
449,3,3,3.0,2,5,5,4,3,5,3,3,3,3,5,3,4,2,3,4,3,3,3,5.0,3,1,3.0,3,2.0,4,Herding Dogs,12 to 16 inches,7 to 12 pounds,12 to 15 years,Flexible
450,3,4,3.0,1,2,3,4,4,4,2,3,3,2,1,4,3,2,3,3,3,4,4,3.0,4,3,4.0,4,4.0,4,Mixed Breed Dogs,14 to 18 inches,50 to 90 pounds,9 to 12 years,Flexible
451,3,2,3.0,1,4,3,5,5,5,4,5,3,4,2,5,3,4,3,3,5,4,2,3.0,3,3,5.0,5,3.0,5,Mixed Breed Dogs,"2 feet, 4 inches to 2 feet, 8 inches tall at the shoulder",Starts at 20 pounds,11 to 14 years,Hesitant
452,3,2,3.0,3,4,2,4,5,4,3,3,3,3,2,3,3,4,3,3,3,4,2,2.0,2,2,4.0,4,3.0,4,Mixed Breed Dogs,12 to 15 inches ,30 to 60 pounds,13 to 16 years,Hesitant
453,4,3,3.0,3,4,3,4,5,3,2,2,3,3,1,3,3,3,4,3,4,4,2,5.0,3,4,3.0,5,2.0,4,Companion Dogs,22 inches to 26 inches tall at the shoulder,18 to 30 pounds,12 to 14 years,Versatile
454,3,2,3.0,2,4,4,4,5,4,5,5,2,2,1,1,4,3,2,3,4,4,3,3.0,2,3,4.0,4,4.0,5,Mixed Breed Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",30 to 80 pounds ,13 to 16 years,Versatile
455,3,3,4.0,1,2,2,4,5,5,4,4,4,4,1,5,3,4,4,4,3,5,3,3.0,4,4,5.0,5,4.0,5,Mixed Breed Dogs,20 to 25 inches,40 to 180 pounds,12 to 16 years,Resistant
456,3,5,4.0,2,3,3,5,5,5,4,4,3,1,2,5,3,3,2,4,4,5,2,2.0,2,3,4.0,4,2.0,5,Working Dogs,"1 foot, 11 inches to 2 feet, 5 inches tall at the shoulder",50 to 80 pounds ,6 to 10 years,Hesitant
457,3,2,4.0,2,4,3,4,5,5,3,4,3,4,1,5,3,4,4,4,4,4,4,4.0,5,3,4.0,5,4.0,5,Mixed Breed Dogs,20 to 25 inches,120 to 180 pounds,12 to 15 years,Resistant
458,3,2,4.0,2,3,3,4,5,4,4,2,3,4,2,3,3,4,4,3,4,5,2,3.0,2,2,,5,3.0,5,Mixed Breed Dogs,20 to 27 inches ,35 to 80 pounds,13 to 16 years,Hesitant
459,3,4,3.0,1,2,4,3,4,3,3,2,2,3,1,5,4,3,1,4,2,4,4,4.0,3,3,4.0,5,3.0,5,Mixed Breed Dogs,21 to 25 inches at the shoulder,3 to 6 pounds,12 to 14 years,Versatile
460,4,3,5.0,2,1,3,3,5,5,3,2,3,3,1,1,4,2,1,3,3,4,4,5.0,2,2,4.0,3,3.0,4,Companion Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",25 to 35 pounds. ,6 to 12 years,Versatile
461,3,5,4.0,3,4,4,3,5,4,3,3,3,1,1,2,2,3,4,3,4,3,2,3.0,2,2,4.0,4,3.0,4,Mixed Breed Dogs,8 to 18 inches ,Starts at 20 pounds,12 to 15 years,Flexible
462,3,2,4.0,2,3,3,4,4,4,2,4,3,1,1,3,3,4,1,3,5,3,2,5.0,1,5,4.0,5,3.0,5,Working Dogs,8 to 18 inches ,40 to 180 pounds,12 to 15 years,Versatile
463,3,2,4.0,2,4,3,5,5,5,5,5,4,3,1,5,4,3,3,4,1,5,3,3.0,2,4,5.0,5,5.0,5,Sporting Dogs,26 to 34 inches tall at the shoulder,20 to 50 pounds,10 to 12 years,Resistant
464,3,2,3.0,2,3,2,3,5,3,3,4,2,2,1,2,3,4,3,3,2,3,2,2.0,2,3,4.0,3,3.0,4,Mixed Breed Dogs,10 to 14 inches,40 to 70 pounds,13 to 16 years,Moderate
465,2,4,4.0,4,1,2,3,4,4,2,2,3,3,1,5,4,2,2,3,3,4,2,4.0,4,2,5.0,5,2.0,4,Companion Dogs,22 to 30 inches.,15 to 35 pounds ,10 to 12 years ,Flexible
466,3,3,4.0,2,3,4,3,4,3,2,2,3,3,1,5,4,2,1,3,2,3,3,3.0,5,5,3.0,4,5.0,3,Mixed Breed Dogs,21 to 25 inches at the shoulder,15 to 35 pounds ,Up to 15 years,Versatile
467,3,2,4.0,2,4,2,4,5,1,4,3,3,3,1,3,4,3,3,2,3,4,2,2.0,2,1,4.0,3,2.0,3,Companion Dogs,12 to 16 inches,37 to 62 pounds,10 to 12 years,Resistant
468,2,2,5.0,1,2,4,4,5,3,4,3,3,5,1,4,4,4,4,3,4,3,2,3.0,4,3,4.0,5,4.0,5,Mixed Breed Dogs,"1 foot, 3 inches to 2 feet, 2 inches tall at the shoulder",30 to 80 pounds ,12 to 15 years,Hesitant
469,3,4,4.0,3,1,4,3,4,3,3,2,4,3,1,5,5,2,2,3,3,3,4,5.0,4,5,3.0,3,2.0,3,Companion Dogs,"Up to 1 foot, 2 inches tall at the shoulder",45 to 100 pounds,10 to 12 years,Versatile
470,4,4,3.0,4,5,4,5,5,5,5,5,3,5,2,3,4,2,2,4,3,5,4,3.0,3,3,4.0,4,2.0,3,Terrier Dogs,19 to 24 inches,18 to 30 pounds,12 to 14 years,Hesitant
471,3,2,3.0,3,4,3,3,4,3,5,3,3,1,1,5,4,3,3,4,2,4,3,4.0,5,3,5.0,5,3.0,5,Sporting Dogs,"Up to 1 foot, 2 inches tall at the shoulder",14 to 16 pounds,10 to 14 years,Resistant
472,2,2,3.0,2,4,5,4,5,5,5,3,3,3,1,3,4,2,3,4,4,3,2,3.0,3,4,4.0,4,5.0,4,Sporting Dogs,19 to 24 inches,13 to 16 pounds,10 to 13 years,Resistant
473,3,4,2.0,3,1,2,4,5,4,4,3,3,2,1,3,4,4,3,3,4,4,5,3.0,1,2,4.0,3,3.0,4,Mixed Breed Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",10 to 30 pounds,12 to 15 years,Moderate
474,3,2,3.0,2,4,4,3,4,4,2,4,3,2,1,5,5,3,2,4,2,4,3,4.0,4,3,5.0,5,5.0,5,Terrier Dogs,16 to 25 inches ,9 to 15 pounds,12 to 14 years,Versatile
475,4,4,4.0,4,2,3,4,5,4,4,4,3,3,2,4,4,4,5,3,2,4,3,5.0,3,3,4.0,4,3.0,4,Sporting Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",30 to 60 pounds,12 to 16 years,Hesitant
476,4,4,3.0,3,3,3,3,4,3,3,3,2,1,1,4,5,3,2,4,3,4,2,2.0,4,2,,3,4.0,4,Companion Dogs,22 inches to 26 inches tall at the shoulder,44 to 55 pounds. ,12 to 15 years,Versatile
477,2,5,4.0,1,4,2,4,5,5,4,4,4,5,4,3,4,4,5,3,4,4,5,2.0,2,2,4.0,3,4.0,5,Working Dogs,"2 feet, 4 inches to 2 feet, 8 inches tall at the shoulder",4 to 16 pounds ,10 to 14 years,Resistant
478,3,3,5.0,1,2,4,5,5,5,2,5,3,5,1,5,3,5,2,4,5,5,5,5.0,4,5,5.0,4,4.0,5,Sporting Dogs,10 inches to 11 inches tall at the shoulder,30 to 80 pounds ,10 to 15 years,Moderate
479,3,3,4.0,3,4,3,4,5,4,3,4,3,2,2,4,4,3,3,4,4,5,3,3.0,4,3,4.0,5,3.0,4,Sporting Dogs,12 to 20 inches,40 to 70 pounds,10 to 14 years,Flexible
480,3,2,3.0,2,3,3,4,5,1,3,5,3,1,2,3,3,4,3,3,3,4,2,5.0,4,4,3.0,4,3.0,3,Mixed Breed Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",30 to 60 pounds,12 to 16 years,Resistant
481,4,3,5.0,2,4,4,5,5,5,4,5,3,5,1,4,3,4,2,4,4,4,2,5.0,2,3,4.0,5,4.0,5,Companion Dogs,24 to 31 inches tall at the shoulder,35 to 80 pounds,12 to 15 years,Flexible
482,3,4,3.0,3,1,2,4,4,3,3,4,2,3,1,3,4,2,2,3,3,4,2,2.0,4,3,4.0,5,3.0,4,Mixed Breed Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 50 pounds,10 to 14 years,Flexible
483,3,2,4.0,2,4,3,5,5,5,4,3,3,3,3,3,3,5,3,4,4,5,4,5.0,3,5,4.0,4,2.0,1,Sporting Dogs,"1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder",18 to 30 pounds,10 to 14 years,Flexible
484,3,3,5.0,3,2,3,4,5,4,2,2,3,2,1,5,4,3,2,4,5,4,4,4.0,4,4,5.0,4,4.0,4,Herding Dogs,22 to 30 inches.,15 to 35 pounds ,12 to 14 years,Versatile
485,3,1,5.0,2,4,3,5,5,5,5,5,3,5,3,5,3,4,4,4,2,4,3,3.0,3,5,4.0,4,3.0,5,Hound Dogs,"1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder",60 to 75 pounds,12 to 14 years,Moderate
486,2,4,4.0,2,4,2,4,3,4,3,2,3,1,1,1,2,3,2,3,4,4,2,4.0,2,2,4.0,3,4.0,4,Working Dogs,12 to 15 inches ,30 to 60 pounds,10 to 12 years,Flexible
487,3,3,4.0,1,2,4,3,4,3,2,3,2,2,1,5,5,3,1,4,2,4,3,4.0,4,5,5.0,5,4.0,5,Mixed Breed Dogs,21 to 25 inches at the shoulder,9 to 15 pounds,12 to 15 years,Versatile
488,3,2,4.0,1,3,2,4,5,4,5,2,4,2,3,5,3,2,4,4,2,4,4,4.0,1,2,4.0,5,5.0,5,Working Dogs,20 to 25 inches,40 to 180 pounds,12 to 15 years,Resistant
489,3,4,5.0,2,5,2,4,3,3,4,5,3,4,2,4,4,4,3,3,3,3,3,4.0,2,3,4.0,4,3.0,3,Mixed Breed Dogs,12 to 15 inches. ,30 to 60 pounds,12 to 15 years,Moderate
490,4,3,3.0,3,4,3,4,5,5,3,5,3,3,2,2,4,2,3,4,3,4,2,3.0,3,3,4.0,4,2.0,4,Herding Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",30 to 60 pounds,12 to 16 years,Hesitant
491,3,2,2.0,3,4,2,4,4,4,1,2,4,1,2,5,2,4,3,3,4,3,4,3.0,4,2,3.0,3,3.0,2,Working Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",10 to 25 pounds,12 to 14 years ,Moderate
492,3,2,4.0,1,3,2,4,5,4,4,4,2,3,1,5,3,4,3,3,2,4,4,3.0,3,3,4.0,4,3.0,5,Mixed Breed Dogs,9 to 12 inches,Starts at 20 pounds,12 to 15 years,Flexible
493,3,5,5.0,3,4,3,4,5,5,3,5,3,5,2,3,4,3,3,3,4,4,2,4.0,1,3,4.0,4,4.0,4,Sporting Dogs,"2 feet, 2 inches to 2 feet, 8 inches tall at the shoulder",10 to 20 pounds,10 to 14 years,Moderate
494,3,3,2.0,1,5,2,4,5,4,3,2,4,2,2,4,4,4,1,3,4,4,3,3.0,2,2,4.0,3,3.0,3,Mixed Breed Dogs,10 inches to 1 foot tall at the shoulder,22 to 24 pounds,10 to 11 years,Moderate
495,3,3,4.0,2,1,2,3,4,3,4,2,2,2,1,4,5,3,2,4,3,3,2,1.0,4,1,3.0,3,2.0,4,Mixed Breed Dogs,"Up to 1 foot, 2 inches tall at the shoulder",44 to 55 pounds. ,12 to 12 years,Versatile
496,3,3,5.0,1,4,3,5,5,5,5,5,3,3,3,4,3,3,3,4,5,4,2,2.0,4,3,4.0,5,5.0,5,Mixed Breed Dogs,26 to 34 inches tall at the shoulder,90 to 150 pounds. ,10 to 14 years,Resistant
497,3,2,3.0,2,4,3,4,5,4,4,3,3,5,1,3,4,4,4,3,3,4,2,3.0,2,2,4.0,4,3.0,4,Hound Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",22 to 55 pounds,10 to 15 years,Moderate
498,4,2,3.0,2,4,3,4,5,5,5,3,3,4,1,5,3,2,2,3,3,3,4,5.0,4,3,3.0,4,3.0,4,Sporting Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",45 to 55 pounds,10 to 15 years,Flexible
499,3,3,4.0,1,2,2,4,5,4,3,3,4,4,3,4,3,3,4,3,2,4,2,3.0,2,2,4.0,5,4.0,5,Mixed Breed Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",40 to 180 pounds,6 to 12 years,Resistant
500,4,3,3.0,2,4,3,3,5,3,3,3,3,3,2,4,1,3,3,4,4,4,2,5.0,4,4,4.0,4,2.0,4,Sporting Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",70 to 115 pounds,12 - 15 years,Versatile
501,3,2,3.0,1,5,3,4,5,4,1,2,3,3,3,3,3,3,3,3,4,5,3,2.0,3,2,4.0,4,3.0,4,Sporting Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",22 to 24 pounds,10 to 13 years,Moderate
502,3,4,3.0,1,4,2,4,5,2,3,3,2,4,3,4,2,3,1,3,3,4,4,3.0,3,1,3.0,3,3.0,4,Companion Dogs,21 to 27 inches,9 to 20 pounds ,12 to 14 years,Versatile
503,2,1,3.0,3,5,2,4,5,2,1,5,3,4,4,1,3,3,3,3,3,3,3,1.0,3,2,2.0,2,2.0,4,Sporting Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",70 to 115 pounds,12 to 16 years,Moderate
504,4,4,3.0,3,1,3,3,2,3,5,2,3,3,1,4,3,3,3,3,3,3,4,5.0,4,1,4.0,4,2.0,4,Hound Dogs,12 to 16 inches,30 to 60 pounds,8 to 11 years,Moderate
505,3,5,4.0,1,2,4,4,5,4,3,3,2,2,1,2,2,3,2,3,2,4,3,3.0,2,3,3.0,3,3.0,4,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",9 to 15 pounds,12 to 15 years,Versatile
506,3,2,3.0,1,5,1,3,4,5,3,4,3,3,3,2,5,3,3,2,4,3,3,4.0,1,2,3.0,2,2.0,3,Mixed Breed Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",18 to 30 pounds,9 to 13 years,Versatile
507,4,2,5.0,2,4,3,4,5,4,3,3,3,3,1,3,3,3,1,3,5,4,3,2.0,4,3,4.0,5,3.0,4,Hound Dogs,8 to 10 inches,25 to 27 pounds,10 to 13 years,Moderate
508,3,3,4.0,2,2,2,4,5,4,4,4,3,2,1,2,4,3,3,4,5,4,3,4.0,2,3,4.0,5,4.0,5,Mixed Breed Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",50 to 80 pounds ,12 to 16 years,Resistant
509,3,2,3.0,2,3,1,4,5,2,4,2,2,4,2,4,4,4,5,4,4,3,2,3.0,4,3,4.0,4,3.0,4,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",48 to 55 pounds,9 to 13 years,Hesitant
510,3,3,5.0,1,4,2,5,4,4,3,4,3,2,1,5,4,4,2,4,4,5,4,4.0,1,4,4.0,5,4.0,5,Mixed Breed Dogs,18 to 23.5 inches,120 to 180 pounds,10 to 15 years,Moderate
511,4,4,4.0,1,3,4,5,5,4,4,4,2,1,1,2,2,4,1,3,5,5,3,4.0,2,3,,5,2.0,5,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",Starts at 20 pounds,12 to 15 years,Versatile
512,3,2,3.0,2,2,2,4,5,4,3,3,2,1,1,5,3,3,1,3,2,4,3,3.0,3,3,3.0,5,3.0,5,Companion Dogs,20 to 25 inches,9 to 15 pounds,10 to 12 years,Versatile
513,3,2,3.0,2,2,3,3,5,3,4,2,3,2,1,4,4,3,1,3,3,3,3,4.0,3,2,4.0,3,3.0,5,Mixed Breed Dogs,21 to 25 inches at the shoulder,120 to 180 pounds,8 to 15 years,Versatile
514,3,2,3.0,2,4,4,5,5,5,5,5,4,3,5,5,4,3,3,4,3,4,4,3.0,4,5,5.0,5,5.0,5,Hound Dogs,5 to 10 inches,25 to 27 pounds,12 to 15 years,Resistant
515,3,2,2.0,3,1,2,3,5,5,4,2,3,3,3,1,2,3,2,4,2,2,4,2.0,4,2,3.0,2,2.0,3,Terrier Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",18 to 30 pounds,10 to 13 years,Moderate
516,3,4,5.0,2,2,3,3,5,3,3,2,3,1,1,2,5,4,1,3,2,3,3,3.0,5,2,4.0,3,4.0,3,Companion Dogs,21 to 25 inches at the shoulder,3 to 6 pounds,12 to 14 years,Versatile
517,3,3,4.0,2,2,4,4,5,5,3,4,4,2,1,5,4,4,4,4,2,4,3,3.0,3,5,5.0,5,4.0,5,Mixed Breed Dogs,16 to 25 inches ,9 to 15 pounds,13 to 16 years,Resistant
518,3,3,4.0,1,4,2,4,5,4,4,2,4,4,2,5,3,2,4,4,3,4,4,3.0,3,3,4.0,3,4.0,5,Mixed Breed Dogs,20 to 27 inches ,17 to 23 pounds,12 to 16 years,Hesitant
519,3,3,3.0,3,4,3,3,4,3,3,2,2,2,1,4,4,3,1,3,3,3,2,1.0,4,1,3.0,4,3.0,3,Terrier Dogs,"Up to 1 foot, 2 inches tall at the shoulder",44 to 55 pounds. ,12 to 14 years,Versatile
520,3,3,4.0,3,3,3,3,4,4,1,2,3,3,1,3,5,3,2,3,2,4,2,4.0,5,3,4.0,2,2.0,5,Hybrid Dogs,7 to 12 inches,14 to 16 pounds,10 to 15 years,Versatile
521,3,2,3.0,2,1,2,3,4,4,3,2,2,1,1,2,2,3,4,3,3,4,2,5.0,3,1,4.0,2,3.0,4,Mixed Breed Dogs,"1 foot, 11 inches to 2 feet, 6 inches tall at the shoulder",30 to 85 pounds,12 to 15 years,Hesitant
522,3,4,3.0,1,4,3,4,5,4,3,3,3,3,1,3,4,2,3,3,5,4,2,3.0,2,3,4.0,4,3.0,4,Terrier Dogs,27 to 32 inches tall at the shoulder,13 to 16 pounds,12 to 15 years,Flexible
523,3,5,4.0,2,3,4,4,5,4,4,4,3,3,1,4,4,4,4,3,4,5,2,4.0,2,2,5.0,5,4.0,5,Mixed Breed Dogs,20 to 25 inches,40 to 180 pounds,10 to 13,Flexible
524,4,5,5.0,1,3,2,4,5,1,3,4,2,2,1,1,2,4,1,3,5,4,3,1.0,2,2,3.0,3,3.0,4,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",9 to 15 pounds,10 to 15 years,Versatile
